time,area,actual_total_load_mw,total_load_forecast_mw
02/04/2025 02:00 - 02/04/2025 02:15,BZN|NL,11214.7,11611.13
02/04/2025 02:15 - 02/04/2025 02:30,BZN|NL,11117.69,11569.22
02/04/2025 02:30 - 02/04/2025 02:45,BZN|NL,11008.44,11496.68
02/04/2025 02:45 - 02/04/2025 03:00,BZN|NL,10990.5,11475.26
02/04/2025 03:00 - 02/04/2025 03:15,BZN|NL,11014.82,11506.29
02/04/2025 03:15 - 02/04/2025 03:30,BZN|NL,10960.47,11492.99
02/04/2025 03:30 - 02/04/2025 03:45,BZN|NL,10956.67,11456.86
02/04/2025 03:45 - 02/04/2025 04:00,BZN|NL,10931.5,11397.1
02/04/2025 04:00 - 02/04/2025 04:15,BZN|NL,10969,11424.21
02/04/2025 04:15 - 02/04/2025 04:30,BZN|NL,10982.9,11474.06
02/04/2025 04:30 - 02/04/2025 04:45,BZN|NL,11004.56,11467.92
02/04/2025 04:45 - 02/04/2025 05:00,BZN|NL,11045.98,11506.2
02/04/2025 05:00 - 02/04/2025 05:15,BZN|NL,11170.02,11523.34
02/04/2025 05:15 - 02/04/2025 05:30,BZN|NL,11268.18,11563.3
02/04/2025 05:30 - 02/04/2025 05:45,BZN|NL,11452.88,11603.54
02/04/2025 05:45 - 02/04/2025 06:00,BZN|NL,11770.24,11675.9
02/04/2025 06:00 - 02/04/2025 06:15,BZN|NL,12184.99,11758.39
02/04/2025 06:15 - 02/04/2025 06:30,BZN|NL,12519.68,11894.73
02/04/2025 06:30 - 02/04/2025 06:45,BZN|NL,12883.32,11975.62
02/04/2025 06:45 - 02/04/2025 07:00,BZN|NL,13251.46,12104.24
02/04/2025 07:00 - 02/04/2025 07:15,BZN|NL,13746.73,12301.26
02/04/2025 07:15 - 02/04/2025 07:30,BZN|NL,13996.55,12587.58
02/04/2025 07:30 - 02/04/2025 07:45,BZN|NL,14210.66,12814.4
02/04/2025 07:45 - 02/04/2025 08:00,BZN|NL,14329.8,13000.45
02/04/2025 08:00 - 02/04/2025 08:15,BZN|NL,14330.22,13208.35
02/04/2025 08:15 - 02/04/2025 08:30,BZN|NL,14261.86,13418.09
02/04/2025 08:30 - 02/04/2025 08:45,BZN|NL,14292.31,13499.53
02/04/2025 08:45 - 02/04/2025 09:00,BZN|NL,14315.64,13487.16
02/04/2025 09:00 - 02/04/2025 09:15,BZN|NL,14168.47,13375.46
02/04/2025 09:15 - 02/04/2025 09:30,BZN|NL,14055.05,13159.55
02/04/2025 09:30 - 02/04/2025 09:45,BZN|NL,13914.61,12933.98
02/04/2025 09:45 - 02/04/2025 10:00,BZN|NL,13915.18,12689.85
02/04/2025 10:00 - 02/04/2025 10:15,BZN|NL,13652.08,12384.93
02/04/2025 10:15 - 02/04/2025 10:30,BZN|NL,13476.83,12073.64
02/04/2025 10:30 - 02/04/2025 10:45,BZN|NL,13480.93,11759.01
02/04/2025 10:45 - 02/04/2025 11:00,BZN|NL,13392.89,11404.6
02/04/2025 11:00 - 02/04/2025 11:15,BZN|NL,13303.08,11177.71
02/04/2025 11:15 - 02/04/2025 11:30,BZN|NL,13188.92,10895.02
02/04/2025 11:30 - 02/04/2025 11:45,BZN|NL,13355.07,10688
02/04/2025 11:45 - 02/04/2025 12:00,BZN|NL,13357.55,10467.6
02/04/2025 12:00 - 02/04/2025 12:15,BZN|NL,13242.9,10387.02
02/04/2025 12:15 - 02/04/2025 12:30,BZN|NL,13115.17,10075.61
02/04/2025 12:30 - 02/04/2025 12:45,BZN|NL,13198.34,9863.35
02/04/2025 12:45 - 02/04/2025 13:00,BZN|NL,13199.25,9712.71
02/04/2025 13:00 - 02/04/2025 13:15,BZN|NL,13117.48,9616.7
02/04/2025 13:15 - 02/04/2025 13:30,BZN|NL,13179.93,9603.69
02/04/2025 13:30 - 02/04/2025 13:45,BZN|NL,13216.35,9567.63
02/04/2025 13:45 - 02/04/2025 14:00,BZN|NL,13190.16,9544.89
02/04/2025 14:00 - 02/04/2025 14:15,BZN|NL,13031.97,9555.69
02/04/2025 14:15 - 02/04/2025 14:30,BZN|NL,13149.73,9577.38
02/04/2025 14:30 - 02/04/2025 14:45,BZN|NL,13033.25,9482.65
02/04/2025 14:45 - 02/04/2025 15:00,BZN|NL,12977.65,9418.61
02/04/2025 15:00 - 02/04/2025 15:15,BZN|NL,13084.39,9470.17
02/04/2025 15:15 - 02/04/2025 15:30,BZN|NL,13048.57,9618.67
02/04/2025 15:30 - 02/04/2025 15:45,BZN|NL,12927.86,9710.11
02/04/2025 15:45 - 02/04/2025 16:00,BZN|NL,12929.71,9797.83
02/04/2025 16:00 - 02/04/2025 16:15,BZN|NL,13119.81,9865.62
02/04/2025 16:15 - 02/04/2025 16:30,BZN|NL,12992.73,10067.77
02/04/2025 16:30 - 02/04/2025 16:45,BZN|NL,12962.01,10264.96
02/04/2025 16:45 - 02/04/2025 17:00,BZN|NL,13103.07,10506.57
02/04/2025 17:00 - 02/04/2025 17:15,BZN|NL,13404.95,10717.08
